game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
41c9080e-5f58-4ff6-a032-2845b3879c0e,21,Live Chess,Chess.com,2024.03.21,-,abhute23,ArnaudMartin99,0-1,1574,,1610,,,,ArnaudMartin99,1610,abhute23,1574,36,,ArnaudMartin99 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
84687f54-4c97-416f-8841-27960ae2e029,22,Live Chess,Chess.com,2024.03.21,-,raullradu,abhute23,1-0,1603,,1566,,,,raullradu,1603,abhute23,1566,37,,raullradu won - game abandoned,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
6c619570-7cf5-414a-b246-f4538daaf190,23,Live Chess,Chess.com,2024.03.21,-,iammilind,abhute23,1-0,1602,,1559,,,,iammilind,1602,abhute23,1559,43,,iammilind won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
1e9ab372-be8c-4a17-8ca8-82be6f4533ab,24,Live Chess,Chess.com,2024.03.21,-,abhute23,kabylian_fighter,1-0,1567,,1547,,,,abhute23,1567,kabylian_fighter,1547,20,,abhute23 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
01943d84-96d0-4da3-9f2c-d57c551be906,25,Live Chess,Chess.com,2024.03.21,-,abhute23,ChessPunch8,0-1,1559,,1592,,,,ChessPunch8,1592,abhute23,1559,33,,ChessPunch8 won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
aecf3419-167d-4983-aacb-a72ca1557a27,26,Live Chess,Chess.com,2024.03.21,-,abhute23,mohsenzarkesh1359,1-0,1566,,1506,,,,abhute23,1566,mohsenzarkesh1359,1506,60,,abhute23 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
1a3cbe56-9900-44ba-b528-cc485177be83,27,Live Chess,Chess.com,2024.03.21,-,sushanthranga,abhute23,1-0,1573,,1558,,,,sushanthranga,1573,abhute23,1558,15,,sushanthranga won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
76fd3405-39db-4c00-bd71-ea023d937351,28,Live Chess,Chess.com,2024.03.21,-,trebolpino,abhute23,1-0,1612,,1551,,,,trebolpino,1612,abhute23,1551,61,,trebolpino won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
0546e1c5-754a-4851-b192-d5754042a2f6,29,Live Chess,Chess.com,2024.03.21,-,Uiru,abhute23,1-0,1588,,1544,,,,Uiru,1588,abhute23,1544,44,,Uiru won by resignation,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
f948182e-f171-47a3-ab83-efb7fb88bae8,30,Live Chess,Chess.com,2024.03.21,-,abhute23,louisouis,1-0,1550,,1446,,,,abhute23,1550,louisouis,1446,104,,abhute23 won by checkmate,180,,,,,2024-03-24T05:02:39+0000,chess_com_games_2024-03-23 (0).pgn
